Gate_ID,Material,Location,Height (ft),Width (ft),Opening_Mechanism,Security_Features,Use_Case,Budget,Climate_Suitability,Parking_Space,Cable_Layout,Storage_Space
34,Wood,Outdoor,9.5,9.6,Swinging,Simple Latch,Industrial,High,Cold,No,None,None
35,Wood,Indoor,8.3,4.2,Automatic,Simple Latch,Commercial,Medium,Humid,Yes,None,Medium
36,Metal,Indoor,6.7,16.8,Swinging,Reinforced,Commercial,Low,Humid,Yes,Underground,None
37,Composite,Indoor,9.5,12.9,Folding,Standard Lock,Commercial,Medium,Cold,No,Underground,Small
38,Metal,Outdoor,6.5,7.0,Swinging,Reinforced,Industrial,Medium,Cold,Yes,Overhead,Medium
39,Metal,Outdoor,7.8,18.2,Sliding,Simple Latch,Commercial,High,Cold,No,Overhead,None
40,Glass,Outdoor,5.5,3.8,Sliding,Reinforced,Residential,High,Humid,No,Overhead,Small
41,Glass,Outdoor,9.6,6.4,Automatic,Simple Latch,Residential,Medium,Humid,No,Underground,Medium
42,Glass,Indoor,5.7,15.8,Sliding,Reinforced,Industrial,Low,Hot,No,None,Small
43,Wood,Indoor,6.1,15.1,Automatic,Standard Lock,Industrial,Low,Humid,No,None,None
44,Composite,Indoor,7.8,7.9,Folding,Simple Latch,Industrial,High,All,No,Underground,Large
45,Composite,Outdoor,8.8,4.1,Sliding,Reinforced,Industrial,Low,All,Yes,Overhead,Medium
46,Composite,Indoor,8.1,17.6,Sliding,Advanced Lock,Industrial,Medium,Cold,Yes,Underground,None
47,Composite,Outdoor,6.2,8.3,Automatic,Standard Lock,Commercial,Low,Cold,No,None,Medium
48,Glass,Outdoor,5.0,6.3,Folding,Advanced Lock,Residential,High,Humid,Yes,Underground,Medium
49,Wood,Outdoor,8.8,11.8,Folding,Reinforced,Residential,Medium,All,No,Underground,Medium
50,Wood,Outdoor,9.9,18.5,Swinging,Standard Lock,Commercial,Medium,Hot,No,None,Small
51,Glass,Outdoor,9.0,3.7,Automatic,Standard Lock,Industrial,Low,Humid,No,Underground,Medium
52,Wood,Indoor,7.3,16.0,Automatic,Standard Lock,Commercial,Low,Humid,Yes,Underground,Large
53,Glass,Outdoor,9.5,12.7,Folding,Reinforced,Industrial,Medium,All,Yes,Underground,None
54,Composite,Outdoor,7.0,10.2,Automatic,Standard Lock,Residential,High,Cold,Yes,Overhead,Small
55,Glass,Indoor,7.6,15.6,Sliding,Standard Lock,Residential,High,Cold,Yes,None,Medium
56,Composite,Outdoor,7.4,19.4,Sliding,Advanced Lock,Industrial,Low,All,No,Overhead,Medium
57,Composite,Outdoor,7.2,6.9,Sliding,Reinforced,Commercial,High,All,No,None,None
58,Metal,Indoor,8.9,5.4,Automatic,Simple Latch,Industrial,Medium,Hot,No,None,Small
59,Glass,Indoor,7.6,18.5,Swinging,Reinforced,Industrial,High,All,Yes,None,Small
60,Metal,Indoor,6.6,14.4,Swinging,Reinforced,Residential,Medium,Cold,Yes,Underground,Medium
61,Glass,Outdoor,6.3,10.4,Folding,Standard Lock,Industrial,Low,All,Yes,Overhead,Small
62,Glass,Indoor,5.2,12.7,Automatic,Advanced Lock,Commercial,High,All,Yes,None,Large
63,Metal,Indoor,7.9,15.7,Folding,Advanced Lock,Industrial,Medium,Hot,No,Overhead,Medium
64,Metal,Indoor,6.1,16.1,Automatic,Reinforced,Residential,Low,Humid,No,Overhead,Medium
65,Glass,Outdoor,5.7,18.6,Swinging,Simple Latch,Commercial,Medium,Hot,Yes,Overhead,Small
66,Wood,Indoor,8.3,10.3,Sliding,Reinforced,Commercial,High,All,Yes,Overhead,Large
67,Composite,Outdoor,8.4,8.0,Automatic,Simple Latch,Residential,Medium,Humid,Yes,Underground,Large
68,Metal,Outdoor,8.8,13.9,Swinging,Simple Latch,Residential,Low,All,No,Underground,Medium
69,Composite,Indoor,7.5,10.1,Swinging,Reinforced,Industrial,Low,Humid,Yes,None,Large
70,Wood,Outdoor,9.5,13.1,Swinging,Standard Lock,Residential,High,All,Yes,None,Large
71,Wood,Outdoor,9.7,10.1,Sliding,Standard Lock,Residential,Low,Cold,Yes,Underground,Large
72,Wood,Indoor,9.0,5.6,Swinging,Simple Latch,Residential,High,Humid,Yes,None,Medium
73,Metal,Outdoor,8.2,11.0,Folding,Advanced Lock,Residential,Low,Humid,Yes,Underground,None
74,Wood,Indoor,6.5,14.7,Swinging,Standard Lock,Commercial,High,Hot,No,Overhead,Medium
75,Metal,Outdoor,9.9,16.6,Swinging,Standard Lock,Commercial,Low,Cold,No,Overhead,None
76,Wood,Outdoor,6.4,11.4,Automatic,Simple Latch,Commercial,High,Cold,Yes,Underground,Large
77,Composite,Indoor,6.0,5.8,Automatic,Simple Latch,Residential,Medium,Cold,Yes,None,Large
78,Composite,Indoor,7.2,10.0,Automatic,Simple Latch,Industrial,Medium,All,Yes,None,Medium
79,Glass,Outdoor,5.3,16.4,Swinging,Standard Lock,Industrial,High,All,Yes,Underground,Medium
80,Composite,Outdoor,9.9,10.0,Swinging,Standard Lock,Industrial,Low,Humid,Yes,Underground,Small
81,Glass,Indoor,7.9,14.8,Folding,Advanced Lock,Industrial,Low,All,No,Overhead,Small
82,Composite,Outdoor,7.8,11.6,Sliding,Advanced Lock,Commercial,High,All,Yes,None,Large
83,Metal,Outdoor,8.3,7.1,Swinging,Reinforced,Industrial,Low,Humid,Yes,Overhead,Medium
84,Composite,Outdoor,7.5,16.5,Sliding,Simple Latch,Commercial,High,Hot,Yes,Underground,Medium
85,Glass,Outdoor,5.2,4.4,Swinging,Standard Lock,Industrial,Medium,All,Yes,None,Medium
86,Glass,Indoor,8.1,11.9,Sliding,Advanced Lock,Industrial,High,Cold,No,Overhead,Large
87,Wood,Indoor,8.6,6.6,Automatic,Simple Latch,Commercial,Low,Cold,No,None,Small
88,Metal,Indoor,7.1,4.1,Swinging,Simple Latch,Commercial,Low,All,Yes,None,Medium
89,Composite,Indoor,8.8,11.5,Folding,Reinforced,Industrial,High,All,Yes,Underground,Medium
90,Wood,Indoor,6.1,11.5,Sliding,Simple Latch,Residential,High,Humid,Yes,Overhead,None
91,Composite,Indoor,6.1,15.0,Automatic,Advanced Lock,Industrial,High,All,Yes,Underground,Small
92,Composite,Outdoor,5.8,15.7,Folding,Reinforced,Industrial,High,Hot,Yes,Overhead,Medium
93,Wood,Indoor,6.9,15.4,Automatic,Standard Lock,Industrial,Medium,Humid,Yes,Underground,Medium
94,Wood,Outdoor,9.2,10.0,Swinging,Reinforced,Commercial,Low,Cold,Yes,Underground,None
95,Wood,Outdoor,9.1,13.7,Folding,Simple Latch,Industrial,Low,Humid,No,Underground,Small
96,Wood,Outdoor,6.9,12.8,Sliding,Simple Latch,Residential,High,All,No,Overhead,Small
97,Wood,Indoor,7.9,10.2,Sliding,Advanced Lock,Industrial,High,All,Yes,Underground,Medium
98,Composite,Outdoor,8.6,13.2,Folding,Simple Latch,Residential,High,Hot,No,None,Medium
99,Wood,Indoor,6.2,19.1,Sliding,Standard Lock,Residential,Medium,Hot,Yes,Underground,Medium
100,Metal,Outdoor,5.8,6.3,Automatic,Advanced Lock,Residential,Medium,Humid,Yes,None,None
101,Glass,Outdoor,9.9,18.4,Folding,Simple Latch,Industrial,High,Cold,Yes,Overhead,None
102,Wood,Indoor,8.1,3.9,Sliding,Standard Lock,Commercial,Low,Humid,Yes,None,None
103,Wood,Outdoor,9.9,8.2,Automatic,Advanced Lock,Commercial,Medium,Humid,Yes,None,None
104,Composite,Outdoor,6.7,7.9,Sliding,Simple Latch,Industrial,Low,Hot,Yes,None,None
105,Wood,Outdoor,8.5,13.6,Automatic,Standard Lock,Industrial,Medium,Humid,Yes,None,Small
106,Wood,Outdoor,6.1,5.2,Swinging,Standard Lock,Residential,High,Hot,Yes,None,Medium
107,Wood,Indoor,6.3,18.0,Automatic,Reinforced,Industrial,High,Hot,Yes,Overhead,Small
108,Composite,Outdoor,7.6,17.1,Sliding,Advanced Lock,Commercial,Low,Humid,Yes,Overhead,None
109,Wood,Outdoor,6.6,14.1,Automatic,Reinforced,Industrial,High,Hot,No,Overhead,Medium
110,Glass,Indoor,5.8,10.8,Sliding,Standard Lock,Industrial,Low,All,Yes,Overhead,Large
111,Composite,Outdoor,6.3,18.9,Folding,Reinforced,Industrial,High,All,No,Overhead,Medium
112,Glass,Outdoor,5.2,17.1,Folding,Reinforced,Residential,High,Humid,Yes,Overhead,Medium
113,Composite,Outdoor,8.5,11.5,Swinging,Reinforced,Industrial,Low,Cold,Yes,Underground,Medium
114,Wood,Outdoor,7.5,14.9,Automatic,Advanced Lock,Industrial,High,Cold,Yes,None,Large
115,Glass,Indoor,5.5,12.6,Swinging,Simple Latch,Industrial,Medium,All,Yes,Overhead,Small
116,Composite,Outdoor,5.9,13.0,Folding,Reinforced,Commercial,High,Hot,Yes,Underground,Medium
117,Metal,Indoor,5.5,8.6,Automatic,Simple Latch,Residential,Low,Cold,No,Overhead,Small
118,Wood,Outdoor,8.1,10.9,Automatic,Advanced Lock,Residential,High,Cold,No,Overhead,Small
119,Composite,Outdoor,5.5,4.3,Swinging,Simple Latch,Commercial,Medium,Humid,Yes,Underground,Large
120,Metal,Outdoor,8.8,9.1,Swinging,Advanced Lock,Residential,High,Humid,No,Overhead,Large
121,Composite,Indoor,5.1,14.8,Automatic,Simple Latch,Commercial,High,Cold,Yes,None,Medium
122,Metal,Outdoor,6.2,19.2,Automatic,Advanced Lock,Residential,Medium,Cold,No,None,None
123,Wood,Outdoor,9.5,19.4,Automatic,Standard Lock,Residential,High,All,Yes,Underground,None
124,Glass,Indoor,8.6,12.4,Swinging,Advanced Lock,Residential,High,Humid,No,Overhead,None
125,Metal,Indoor,5.4,13.3,Sliding,Simple Latch,Industrial,Low,Humid,No,None,Medium
126,Composite,Indoor,9.1,6.2,Folding,Reinforced,Residential,Low,Cold,No,Underground,None
127,Wood,Indoor,7.5,14.8,Folding,Standard Lock,Industrial,Low,All,No,None,None
128,Metal,Outdoor,9.2,4.2,Swinging,Reinforced,Industrial,Low,Hot,Yes,Underground,Large
129,Composite,Outdoor,8.0,7.8,Automatic,Simple Latch,Industrial,Medium,Humid,Yes,Underground,Large
130,Composite,Outdoor,8.4,14.4,Folding,Reinforced,Commercial,Low,Humid,Yes,None,Medium
131,Composite,Outdoor,10.0,8.3,Folding,Reinforced,Residential,Low,Cold,Yes,Overhead,None
132,Metal,Indoor,6.2,3.8,Folding,Advanced Lock,Residential,High,Cold,Yes,Underground,Medium
133,Metal,Outdoor,8.1,17.1,Folding,Simple Latch,Residential,Medium,Hot,No,None,None
134,Metal,Outdoor,7.3,8.3,Automatic,Reinforced,Industrial,Medium,Humid,Yes,None,Small
135,Glass,Outdoor,5.2,4.1,Swinging,Reinforced,Residential,Low,All,Yes,None,Medium
136,Metal,Outdoor,5.1,4.3,Automatic,Reinforced,Industrial,High,All,No,Underground,Large
137,Metal,Indoor,5.6,7.3,Automatic,Simple Latch,Industrial,Medium,Cold,Yes,Overhead,None
138,Metal,Outdoor,8.2,6.0,Folding,Standard Lock,Industrial,Medium,All,Yes,None,None
139,Glass,Outdoor,7.8,16.2,Folding,Reinforced,Industrial,Low,All,Yes,None,Small
140,Metal,Outdoor,7.8,8.5,Automatic,Reinforced,Residential,Low,Cold,No,Underground,Small
141,Composite,Indoor,5.2,16.7,Automatic,Standard Lock,Industrial,Low,Hot,Yes,Overhead,Small
142,Metal,Indoor,7.3,6.0,Automatic,Standard Lock,Commercial,High,Hot,No,Underground,Small
143,Composite,Outdoor,9.6,11.4,Sliding,Standard Lock,Commercial,Low,Humid,No,Overhead,Small
144,Composite,Outdoor,7.0,14.7,Folding,Reinforced,Commercial,Medium,Cold,No,Underground,Small
145,Composite,Outdoor,8.1,14.1,Swinging,Advanced Lock,Industrial,Medium,Cold,No,Overhead,None
146,Glass,Indoor,8.9,13.2,Swinging,Simple Latch,Residential,Low,Humid,Yes,None,Large
147,Glass,Outdoor,8.9,18.7,Swinging,Reinforced,Residential,Medium,All,Yes,Underground,Large
148,Glass,Outdoor,7.6,6.9,Sliding,Standard Lock,Industrial,High,Hot,Yes,Overhead,Medium
149,Metal,Outdoor,9.3,11.4,Sliding,Standard Lock,Industrial,Low,Humid,Yes,None,None
150,Composite,Indoor,7.0,18.0,Swinging,Standard Lock,Industrial,Medium,Humid,No,None,None
151,Glass,Outdoor,9.4,4.3,Swinging,Standard Lock,Commercial,Medium,Humid,Yes,Overhead,Large
152,Glass,Outdoor,6.2,4.0,Swinging,Advanced Lock,Industrial,Low,Hot,Yes,Underground,Large
153,Metal,Indoor,6.4,7.0,Automatic,Simple Latch,Industrial,Medium,All,No,None,Medium
154,Glass,Indoor,5.3,13.8,Folding,Advanced Lock,Residential,Medium,Hot,No,Overhead,Small
155,Metal,Outdoor,9.0,7.4,Sliding,Advanced Lock,Residential,Low,Cold,Yes,Underground,None
156,Wood,Indoor,7.1,6.2,Sliding,Simple Latch,Commercial,High,Cold,Yes,None,Large
157,Glass,Outdoor,6.1,10.8,Automatic,Reinforced,Commercial,Medium,Humid,No,Overhead,None
158,Wood,Indoor,6.2,13.4,Sliding,Reinforced,Commercial,High,Cold,No,None,Large
159,Metal,Indoor,9.5,7.2,Swinging,Advanced Lock,Commercial,High,Hot,No,Underground,Small
160,Composite,Outdoor,9.2,8.1,Sliding,Simple Latch,Industrial,High,Cold,No,Underground,Small
161,Glass,Outdoor,7.8,13.4,Automatic,Standard Lock,Industrial,High,Cold,No,None,None
162,Metal,Outdoor,8.1,19.1,Folding,Simple Latch,Commercial,High,All,Yes,Underground,Large
163,Composite,Indoor,7.4,14.5,Swinging,Reinforced,Commercial,Medium,Hot,No,Underground,None
164,Composite,Outdoor,7.0,16.3,Sliding,Advanced Lock,Residential,Medium,Cold,Yes,Overhead,Small
165,Wood,Outdoor,9.6,9.2,Swinging,Standard Lock,Residential,High,Hot,Yes,None,None
166,Metal,Outdoor,5.6,7.6,Folding,Reinforced,Residential,Low,Cold,Yes,None,Large
167,Composite,Outdoor,7.1,10.7,Sliding,Standard Lock,Commercial,High,All,No,Overhead,Small
168,Glass,Outdoor,6.7,16.7,Swinging,Simple Latch,Residential,Low,Cold,Yes,Underground,None
169,Glass,Indoor,7.5,10.8,Automatic,Simple Latch,Commercial,Medium,Humid,Yes,None,Medium
170,Wood,Outdoor,7.3,17.4,Automatic,Reinforced,Industrial,Low,All,No,None,None
171,Composite,Outdoor,7.6,19.8,Folding,Reinforced,Commercial,Medium,Cold,Yes,Overhead,None
172,Metal,Indoor,5.7,4.2,Folding,Standard Lock,Industrial,Low,Humid,Yes,Underground,Large
173,Glass,Outdoor,7.6,3.8,Folding,Standard Lock,Industrial,High,Cold,Yes,Overhead,Small
174,Composite,Outdoor,6.2,5.5,Sliding,Simple Latch,Commercial,Medium,Humid,Yes,None,Small
175,Composite,Outdoor,5.9,9.5,Folding,Advanced Lock,Residential,Low,All,No,Underground,Medium
176,Wood,Outdoor,5.3,5.2,Sliding,Standard Lock,Commercial,High,Cold,No,Underground,None
177,Glass,Outdoor,8.8,17.8,Swinging,Simple Latch,Residential,Low,Hot,Yes,Overhead,None
178,Glass,Indoor,7.1,3.4,Automatic,Advanced Lock,Industrial,Low,Cold,No,Underground,None
179,Metal,Indoor,8.1,8.4,Swinging,Reinforced,Industrial,Low,Hot,Yes,None,Small
180,Glass,Indoor,8.6,6.1,Automatic,Reinforced,Industrial,Medium,All,Yes,None,Small
181,Metal,Outdoor,8.4,18.8,Folding,Standard Lock,Industrial,Medium,Hot,No,None,None
182,Glass,Indoor,7.4,14.4,Swinging,Advanced Lock,Commercial,High,Humid,No,Underground,None
183,Wood,Outdoor,6.9,18.5,Swinging,Simple Latch,Industrial,Low,Hot,Yes,Underground,Small
184,Glass,Outdoor,6.9,19.5,Folding,Standard Lock,Residential,Low,All,Yes,None,Large
185,Metal,Outdoor,8.2,11.5,Swinging,Simple Latch,Residential,Medium,All,Yes,Overhead,Medium
186,Metal,Indoor,7.5,7.0,Sliding,Advanced Lock,Industrial,Medium,Hot,Yes,None,Medium
187,Wood,Indoor,9.2,6.3,Automatic,Standard Lock,Commercial,Low,Humid,Yes,Overhead,Medium
188,Glass,Indoor,9.4,6.8,Folding,Advanced Lock,Industrial,Low,All,No,None,Large
189,Glass,Outdoor,5.9,15.0,Sliding,Advanced Lock,Industrial,Low,Cold,Yes,Overhead,None
190,Wood,Indoor,5.7,3.7,Sliding,Advanced Lock,Residential,Medium,All,No,Overhead,Small
191,Glass,Outdoor,8.2,3.9,Folding,Simple Latch,Commercial,Low,Cold,No,Underground,Large
192,Glass,Indoor,6.5,13.3,Swinging,Reinforced,Commercial,Low,Hot,Yes,Overhead,Medium
193,Metal,Indoor,5.1,13.9,Automatic,Standard Lock,Residential,Medium,Humid,No,Underground,None
194,Glass,Outdoor,9.4,14.3,Sliding,Simple Latch,Residential,Medium,Cold,No,None,Medium
195,Glass,Outdoor,6.1,9.3,Swinging,Advanced Lock,Residential,Medium,Humid,Yes,Overhead,Medium
196,Wood,Indoor,9.6,16.7,Folding,Simple Latch,Commercial,Medium,Humid,No,Overhead,Large
197,Wood,Indoor,8.6,12.1,Folding,Advanced Lock,Residential,Low,Hot,No,None,None
198,Composite,Indoor,8.8,4.8,Automatic,Advanced Lock,Residential,Medium,All,Yes,None,Large
199,Metal,Outdoor,6.0,16.6,Folding,Advanced Lock,Residential,Medium,All,Yes,Overhead,Small
200,Glass,Outdoor,6.2,19.2,Automatic,Advanced Lock,Industrial,Low,All,No,Overhead,Large
201,Glass,Indoor,7.6,4.0,Folding,Simple Latch,Commercial,High,Humid,Yes,Underground,Small
202,Composite,Indoor,5.9,9.7,Folding,Advanced Lock,Commercial,Low,All,No,Underground,Small
203,Glass,Outdoor,6.5,11.3,Sliding,Simple Latch,Industrial,Low,All,No,Overhead,Small
204,Metal,Indoor,6.6,5.5,Swinging,Simple Latch,Commercial,Low,Hot,No,Overhead,None
205,Composite,Outdoor,5.8,17.8,Sliding,Reinforced,Residential,Low,All,Yes,None,None
206,Metal,Outdoor,6.0,7.8,Automatic,Simple Latch,Industrial,Low,Humid,Yes,None,Medium
207,Composite,Outdoor,8.9,16.3,Sliding,Reinforced,Residential,Low,Hot,Yes,Underground,Small
208,Composite,Outdoor,5.8,14.4,Folding,Reinforced,Residential,Low,All,Yes,Underground,None
209,Wood,Outdoor,5.1,13.2,Folding,Reinforced,Residential,High,Cold,No,None,Large
210,Metal,Outdoor,8.1,6.3,Swinging,Simple Latch,Residential,Low,All,Yes,None,Large
211,Glass,Indoor,9.9,6.8,Automatic,Reinforced,Commercial,Low,Humid,Yes,None,None
212,Glass,Outdoor,6.7,3.8,Folding,Standard Lock,Industrial,Low,Hot,Yes,None,None
213,Metal,Outdoor,5.6,7.1,Swinging,Advanced Lock,Industrial,Low,All,No,None,Medium
214,Glass,Indoor,7.9,8.9,Swinging,Simple Latch,Residential,Low,Cold,No,None,Medium
215,Glass,Outdoor,9.5,17.2,Folding,Advanced Lock,Industrial,High,All,No,Underground,Medium
216,Metal,Indoor,8.9,9.2,Folding,Simple Latch,Industrial,Medium,Hot,Yes,None,Large
217,Composite,Outdoor,8.1,15.8,Automatic,Reinforced,Residential,Medium,Hot,No,Overhead,Large
218,Metal,Indoor,6.6,10.5,Swinging,Standard Lock,Residential,Low,Hot,No,Overhead,Small
219,Composite,Indoor,7.7,16.3,Swinging,Reinforced,Commercial,High,Hot,Yes,Overhead,Large
220,Glass,Outdoor,5.5,19.6,Swinging,Simple Latch,Commercial,High,Hot,No,Overhead,None
221,Glass,Outdoor,8.4,7.1,Automatic,Reinforced,Residential,High,Humid,No,Underground,Medium
222,Glass,Outdoor,8.6,17.7,Swinging,Standard Lock,Commercial,Medium,Cold,No,Overhead,Small
223,Wood,Outdoor,9.8,13.6,Sliding,Advanced Lock,Commercial,Medium,Cold,No,Underground,Small
224,Composite,Indoor,6.3,16.9,Sliding,Advanced Lock,Industrial,High,Cold,Yes,Overhead,None
225,Wood,Indoor,5.1,14.1,Swinging,Reinforced,Residential,Medium,Humid,Yes,None,Medium
226,Wood,Indoor,7.7,10.2,Sliding,Simple Latch,Industrial,Medium,Hot,No,None,Small
227,Metal,Outdoor,8.5,6.9,Sliding,Simple Latch,Industrial,Low,All,Yes,None,Medium
228,Wood,Indoor,9.0,4.2,Automatic,Advanced Lock,Residential,Low,Humid,No,None,Medium
229,Metal,Outdoor,6.0,12.1,Swinging,Standard Lock,Industrial,Low,Hot,Yes,Underground,Medium
230,Metal,Outdoor,6.3,19.8,Automatic,Reinforced,Commercial,High,Humid,No,None,Large
231,Wood,Indoor,7.6,15.5,Swinging,Reinforced,Commercial,Low,All,No,None,Medium
232,Composite,Outdoor,6.7,8.6,Folding,Advanced Lock,Commercial,High,All,Yes,Underground,Medium
233,Composite,Indoor,9.3,17.1,Sliding,Simple Latch,Commercial,Low,Cold,No,Overhead,None
234,Composite,Outdoor,7.4,16.1,Automatic,Reinforced,Commercial,High,Humid,Yes,Underground,None
235,Composite,Indoor,9.0,7.8,Automatic,Simple Latch,Industrial,Medium,All,Yes,Overhead,Small
236,Composite,Outdoor,7.9,3.2,Folding,Simple Latch,Residential,High,Hot,No,None,Small
237,Wood,Indoor,8.9,5.0,Folding,Advanced Lock,Industrial,Medium,Cold,Yes,Underground,Medium
238,Wood,Indoor,6.7,17.9,Sliding,Simple Latch,Industrial,Low,All,Yes,Overhead,None
239,Glass,Outdoor,9.2,17.2,Sliding,Standard Lock,Commercial,Medium,Cold,No,Underground,Small
240,Composite,Outdoor,6.4,8.0,Swinging,Standard Lock,Commercial,Medium,Hot,No,Overhead,Large
241,Wood,Indoor,7.7,7.8,Swinging,Advanced Lock,Industrial,Low,Hot,Yes,None,None
242,Glass,Outdoor,6.1,16.5,Folding,Reinforced,Industrial,High,Humid,No,None,None
243,Composite,Outdoor,7.4,18.9,Sliding,Simple Latch,Residential,High,Hot,Yes,None,None
244,Metal,Outdoor,6.6,16.2,Sliding,Standard Lock,Residential,High,Hot,No,Overhead,Large
245,Glass,Indoor,6.3,13.3,Folding,Advanced Lock,Residential,Low,Hot,No,None,Small
246,Wood,Indoor,9.8,7.1,Folding,Advanced Lock,Residential,High,Cold,No,Underground,Small
247,Metal,Outdoor,5.8,11.9,Automatic,Simple Latch,Residential,Medium,Hot,No,Overhead,Small
248,Metal,Outdoor,8.9,7.0,Folding,Advanced Lock,Commercial,Low,Cold,Yes,Underground,Small
249,Metal,Indoor,9.9,16.7,Automatic,Reinforced,Residential,High,All,No,Overhead,Small
250,Glass,Outdoor,5.1,9.6,Swinging,Simple Latch,Industrial,Medium,All,No,Overhead,None
251,Wood,Indoor,8.5,17.2,Folding,Reinforced,Commercial,Medium,Cold,No,Underground,Large
252,Metal,Outdoor,6.3,9.5,Folding,Standard Lock,Industrial,High,Cold,Yes,None,Medium
253,Composite,Outdoor,5.2,17.0,Folding,Standard Lock,Commercial,Low,Hot,No,Underground,Small
254,Metal,Outdoor,7.0,8.7,Automatic,Standard Lock,Commercial,Medium,Hot,Yes,None,Medium
255,Metal,Indoor,9.7,10.5,Folding,Standard Lock,Residential,Medium,Cold,No,Underground,Small
256,Glass,Indoor,5.1,13.5,Folding,Advanced Lock,Industrial,Medium,Humid,Yes,Overhead,None
257,Glass,Indoor,7.9,4.2,Sliding,Reinforced,Residential,Medium,Humid,Yes,Underground,None
258,Wood,Indoor,7.5,19.1,Sliding,Advanced Lock,Industrial,High,Humid,Yes,Underground,Medium
259,Composite,Outdoor,9.4,12.8,Sliding,Advanced Lock,Industrial,Low,All,Yes,Overhead,Small
260,Glass,Outdoor,5.4,11.6,Folding,Standard Lock,Residential,Medium,Hot,Yes,None,Small
261,Metal,Indoor,8.4,17.3,Sliding,Reinforced,Residential,Medium,Cold,Yes,None,Large
262,Wood,Outdoor,8.4,17.7,Swinging,Simple Latch,Commercial,Medium,All,No,Overhead,Large
263,Metal,Outdoor,8.3,11.9,Sliding,Simple Latch,Commercial,Low,All,No,None,None
264,Metal,Indoor,9.7,18.8,Folding,Simple Latch,Commercial,Medium,Hot,Yes,None,Large
265,Glass,Outdoor,9.1,4.1,Sliding,Reinforced,Industrial,Low,Cold,No,None,Large
